Bandung,Makassar,DKI Jakarta,Medan,Surabaya,Pekanbaru,Batam,Palembang,Yogyakarta,Balikpapan
,,,,,,,,,
79200.0,43550.0,72900.0,39550.0,75800.0,45400.0,93550.0,65600.0,97450.0,77600.0
90800.0,42800.0,109550.0,45500.0,91750.0,56000.0,98950.0,77200.0,89650.0,82900.0
87350.0,55100.0,116950.0,45500.0,94150.0,85750.0,96050.0,78600.0,98800.0,82900.0
77800.0,47600.0,118200.0,33600.0,91900.0,95700.0,77900.0,69850.0,107700.0,83900.0
73900.0,45350.0,109150.0,36300.0,59850.0,90650.0,81600.0,74200.0,101050.0,78050.0
,,,,,,,,,
42700.0,26100.0,65050.0,38450.0,40700.0,60400.0,68300.0,28400.0,53050.0,72050.0
47200.0,36750.0,49050.0,43350.0,42450.0,60500.0,72300.0,26350.0,49650.0,71050.0
,,,,,,,,,
45950.0,40700.0,54550.0,44350.0,40850.0,36300.0,70650.0,57750.0,45300.0,66300.0
61550.0,52200.0,63400.0,41600.0,50450.0,51400.0,91300.0,65350.0,64050.0,64550.0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
58300.0,28850.0,69550.0,33400.0,46200.0,42900.0,70950.0,28500.0,50450.0,77550.0
58300.0,28850.0,69550.0,33400.0,46200.0,42900.0,70950.0,28500.0,50450.0,77550.0
56900.0,29050.0,69550.0,33400.0,43600.0,64900.0,70550.0,56400.0,56000.0,72050.0
56900.0,29050.0,69550.0,33400.0,43600.0,64900.0,70550.0,25250.0,56000.0,72050.0
56900.0,29050.0,69550.0,33400.0,43600.0,64900.0,70550.0,25250.0,56000.0,72050.0
,,,,,,,,,
,,,,,,,,,
56900.0,29050.0,69550.0,33400.0,43600.0,64900.0,70550.0,25250.0,56000.0,72050.0
56900.0,29050.0,69550.0,33400.0,43600.0,64900.0,70550.0,25250.0,56000.0,72050.0
55900.0,26100.0,69550.0,38450.0,42200.0,64900.0,68300.0,57950.0,51700.0,72050.0
55900.0,26100.0,69550.0,38450.0,42200.0,64900.0,68300.0,28400.0,51700.0,72050.0
55900.0,26100.0,69550.0,38450.0,42200.0,64900.0,68300.0,28400.0,51700.0,72050.0
,,,,,,,,,
,,,,,,,,,
55900.0,26100.0,69550.0,38450.0,42200.0,64900.0,68300.0,28400.0,51700.0,72050.0
55900.0,26100.0,69550.0,38450.0,42200.0,64900.0,68300.0,28400.0,51700.0,72050.0
79200.0,43550.0,72900.0,39550.0,75800.0,45400.0,93550.0,65600.0,97450.0,77600.0
90800.0,42800.0,109550.0,45500.0,91750.0,56000.0,98950.0,77200.0,89650.0,82900.0
,,,,,,,,,
77800.0,47600.0,118200.0,33600.0,91900.0,95700.0,77900.0,69850.0,107700.0,83900.0
,,,,,,,,,
,,,,,,,,,
42700.0,26100.0,65050.0,38450.0,40700.0,60400.0,68300.0,28400.0,53050.0,72050.0
47200.0,36750.0,49050.0,43350.0,42450.0,60500.0,72300.0,26350.0,49650.0,71050.0
42600.0,37350.0,54650.0,38000.0,44100.0,34550.0,72700.0,54100.0,40550.0,60650.0
48200.0,41700.0,50650.0,44350.0,40100.0,41100.0,72050.0,57750.0,45300.0,64550.0
,,,,,,,,,
62950.0,55950.0,64650.0,50550.0,56700.0,53900.0,89850.0,66500.0,67550.0,66650.0
43300.0,26500.0,59300.0,38450.0,42200.0,60400.0,69050.0,28400.0,53050.0,71050.0
43300.0,26500.0,59300.0,38450.0,42200.0,60400.0,69050.0,28400.0,53050.0,71050.0
42550.0,26600.0,58150.0,39250.0,43700.0,59650.0,70200.0,56550.0,53050.0,71050.0
42550.0,26600.0,58150.0,39250.0,43700.0,59650.0,70200.0,25600.0,53050.0,71050.0
42550.0,26600.0,58150.0,39250.0,43700.0,59650.0,70200.0,25600.0,53050.0,71050.0
,,,,,,,,,
,,,,,,,,,
42550.0,26600.0,58150.0,39250.0,43700.0,59650.0,70200.0,25600.0,53050.0,71050.0
42550.0,26600.0,58150.0,39250.0,43700.0,59650.0,70200.0,25600.0,53050.0,71050.0
43050.0,23600.0,56900.0,39250.0,42450.0,60500.0,71550.0,58050.0,53050.0,71050.0
43050.0,23600.0,56900.0,39250.0,42450.0,60500.0,71550.0,28550.0,53050.0,71050.0
43050.0,23600.0,56900.0,39250.0,42450.0,60500.0,71550.0,28550.0,53050.0,71050.0
,,,,,,,,,
,,,,,,,,,
43050.0,23600.0,56900.0,39250.0,42450.0,60500.0,71550.0,28550.0,53050.0,71050.0
43050.0,23600.0,56900.0,39250.0,42450.0,60500.0,71550.0,28550.0,53050.0,71050.0
43050.0,23600.0,56900.0,39250.0,42450.0,60500.0,71550.0,58050.0,53050.0,71050.0
43050.0,23600.0,56900.0,39250.0,42450.0,60500.0,71550.0,28550.0,53050.0,71050.0
,,,,,,,,,
77900.0,45500.0,72500.0,40500.0,87000.0,78200.0,111450.0,65600.0,86350.0,77600.0
,,,,,,,,,
,,,,,,,,,
74900.0,46000.0,118200.0,33600.0,88750.0,95700.0,77900.0,69850.0,105700.0,78050.0
73900.0,45350.0,109150.0,36300.0,59850.0,51400.0,81600.0,74200.0,101050.0,78050.0
71050.0,37250.0,69550.0,36050.0,46200.0,41400.0,73850.0,28500.0,51200.0,77550.0
43300.0,26500.0,59300.0,38450.0,42200.0,60400.0,69050.0,57950.0,53050.0,71050.0
,,,,,,,,,
42600.0,37350.0,54650.0,38000.0,44100.0,34550.0,72700.0,54100.0,40550.0,60650.0
48200.0,41700.0,50650.0,44350.0,40100.0,41100.0,72050.0,57750.0,45300.0,64550.0
,,,,,,,,,
62950.0,55950.0,64650.0,50550.0,56700.0,53900.0,89850.0,66500.0,67550.0,66650.0
46100.0,36750.0,50050.0,43350.0,43100.0,60500.0,75900.0,26300.0,49650.0,62900.0
46100.0,36750.0,50050.0,43350.0,43100.0,60500.0,75900.0,26300.0,49650.0,62900.0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
46100.0,36750.0,50050.0,43350.0,43100.0,60500.0,75900.0,26300.0,49650.0,62900.0
46100.0,36450.0,54650.0,44000.0,44100.0,60500.0,75900.0,57000.0,49650.0,60650.0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
46100.0,36450.0,54650.0,44000.0,44100.0,34100.0,75900.0,26500.0,49650.0,60650.0
46100.0,36450.0,54650.0,44000.0,44100.0,34100.0,75900.0,26500.0,49650.0,60650.0
45150.0,34950.0,54650.0,38000.0,44100.0,60500.0,74600.0,57000.0,44300.0,60650.0
45150.0,34950.0,54650.0,38000.0,44100.0,34100.0,74600.0,26500.0,44300.0,60650.0
45150.0,34950.0,54650.0,38000.0,44100.0,34100.0,74600.0,26500.0,44300.0,60650.0
,,,,,,,,,
,,,,,,,,,
45150.0,34950.0,54650.0,38000.0,44100.0,34100.0,74600.0,26500.0,44300.0,60650.0
77900.0,45500.0,72500.0,40500.0,87000.0,78200.0,111450.0,65600.0,86350.0,77600.0
,,,,,,,,,
87350.0,55100.0,116950.0,45500.0,94150.0,85750.0,96050.0,78600.0,98800.0,82900.0
74900.0,46000.0,118200.0,33600.0,88750.0,95700.0,77900.0,69850.0,105700.0,78050.0
,,,,,,,,,
71050.0,37250.0,69550.0,36050.0,46200.0,41400.0,73850.0,28500.0,51200.0,77550.0
