,balikpapan,bandung,batam,jakarta,makassar,medan,palembang,pekanbaru,surabaya,yogyakarta
2018-04-13,60900.0,67550.0,74700.0,80450.0,49300.0,51000.0,72200.0,86150.0,65800.0,74750.0
2018-04-14,,,,,,,,,,
2018-04-15,,,,,,,,,,
2018-04-16,60900.0,67550.0,74700.0,80450.0,49300.0,51000.0,72200.0,86150.0,65800.0,74750.0
2018-04-17,60900.0,67550.0,74700.0,80450.0,49300.0,51000.0,72200.0,86150.0,65800.0,74750.0
2018-04-18,60900.0,68350.0,72900.0,85200.0,53900.0,51000.0,72200.0,51150.0,73150.0,74750.0
2018-04-19,60900.0,68350.0,72900.0,85200.0,53900.0,51000.0,72200.0,51150.0,73150.0,74750.0
2018-04-20,60900.0,68350.0,72900.0,85200.0,53900.0,51000.0,72200.0,51150.0,73150.0,74750.0
2018-04-21,,,,,,,,,,
2018-04-22,,,,,,,,,,
2018-04-23,60900.0,68350.0,72900.0,85200.0,53900.0,51000.0,72200.0,51150.0,73150.0,74750.0
2018-04-24,60900.0,68350.0,72900.0,85200.0,53900.0,51000.0,72200.0,51150.0,73150.0,74750.0
2018-04-25,62400.0,68350.0,70750.0,87500.0,54050.0,51000.0,72200.0,55300.0,75950.0,71150.0
2018-04-26,62400.0,68350.0,70750.0,87500.0,54050.0,51000.0,72200.0,55300.0,75950.0,71150.0
2018-04-27,62400.0,68350.0,70750.0,87500.0,54050.0,51000.0,72200.0,55300.0,75950.0,71150.0
2018-04-28,,,,,,,,,,
2018-04-29,,,,,,,,,,
2018-04-30,62400.0,68350.0,70750.0,87500.0,54050.0,51000.0,72200.0,55300.0,75950.0,71150.0
2018-05-01,,,,,,,,,,
2018-05-02,63150.0,69600.0,65300.0,88250.0,53200.0,51000.0,72200.0,50550.0,80100.0,62850.0
2018-05-03,63150.0,69600.0,65300.0,88250.0,53200.0,51000.0,72200.0,50550.0,80100.0,62850.0
2018-05-04,63150.0,69600.0,65300.0,88250.0,53200.0,51000.0,72200.0,50550.0,80100.0,62850.0
2018-05-05,,,,,,,,,,
2018-05-06,,,,,,,,,,
2018-05-07,63150.0,69600.0,65300.0,88250.0,53200.0,51000.0,72200.0,50550.0,80100.0,62850.0
2018-05-08,63150.0,69600.0,65300.0,88250.0,53200.0,51000.0,72200.0,50550.0,80100.0,62850.0
2018-05-09,65900.0,70750.0,64150.0,88250.0,56800.0,51000.0,72200.0,55900.0,78700.0,61600.0
2018-05-10,,,,,,,,,,
2018-05-11,65900.0,70750.0,64150.0,88250.0,56800.0,51000.0,72200.0,55900.0,78700.0,61600.0
2018-05-12,,,,,,,,,,
2018-05-13,,,,,,,,,,
2018-05-14,65900.0,70750.0,64150.0,88250.0,56800.0,51000.0,72200.0,55900.0,78700.0,61600.0
2018-05-15,65900.0,70750.0,64150.0,88250.0,56800.0,51000.0,72200.0,55900.0,78700.0,61600.0
2018-05-16,65900.0,70300.0,64650.0,86750.0,63350.0,51000.0,68150.0,71650.0,72200.0,60350.0
2018-05-17,65900.0,70300.0,64650.0,86750.0,63350.0,51000.0,68150.0,71650.0,72200.0,60350.0
2018-05-18,65900.0,70300.0,64650.0,86750.0,63350.0,51000.0,68150.0,71650.0,72200.0,60350.0
2018-05-19,,,,,,,,,,
2018-05-20,,,,,,,,,,
2018-05-21,65900.0,70300.0,64650.0,86750.0,63350.0,51000.0,68150.0,71650.0,72200.0,60350.0
2018-05-22,65900.0,70300.0,64650.0,86750.0,63350.0,51000.0,68150.0,71650.0,72200.0,60350.0
2018-05-23,63650.0,65350.0,59150.0,83500.0,56100.0,50500.0,68150.0,67150.0,71450.0,60350.0
